Title,Video ID,Duration,Views,Published At,duration_readable,duration_min
integral dupla centro de massa e momento de inércia - exercícios resolvidos,wlWaBwbOFO4,PT1H12M24S,1252,2021-03-01T18:33:15Z,72:24,72.4
Integral dupla | Teorema de mudança de variáveis | parte II,RDDZr6aWerA,PT16M37S,466,2021-02-25T16:47:35Z,16:37,16.616666666666667
Integral dupla | Teorema de mudança de variáveis | parte I,Fjo6Se4joxM,PT19M54S,897,2021-02-25T16:26:56Z,19:54,19.9
Integral dupla | Volume entre elipsoide e cilindro elíptico,fsY_RtklaIs,PT19M13S,1726,2021-02-25T14:33:01Z,19:13,19.216666666666665
"Integral dupla | Volume compreendido entre paraboloide, cilindro elíptico e plano",f8PiOi-xev0,PT18M11S,2239,2021-02-25T11:55:20Z,18:11,18.183333333333334
Centro de massa | 1/4 de elipse | Integral dupla,NAJXuQRY-tg,PT15M12S,1140,2021-02-15T18:57:16Z,15:12,15.2
Integral dupla | Área da esfera,XL72Nharcbc,PT13M37S,2884,2021-02-15T18:53:57Z,13:37,13.616666666666667
Área de superfície que são gráfico de funções,JdHs8i3LHyg,PT3M17S,680,2021-02-15T16:25:05Z,3:17,3.283333333333333
Área interior à intersecção | Paraboloide Hiperbólico v.s. Cilindro,Vn6i2nWhGvw,PT4M56S,853,2021-02-15T15:07:59Z,4:56,4.933333333333334
Área de um paraboloide limitado por planos,oyc-JtqyTN4,PT9M22S,2183,2021-02-15T14:16:18Z,9:22,9.366666666666667
Momento de inercia do círculo homogêneo,VlK7JXQqQv8,PT5M51S,2376,2021-02-15T12:28:40Z,5:51,5.85
Aplicação integral dupla no momento de inércia,12DMjuLV3sk,PT9M31S,2208,2021-02-15T12:10:22Z,9:31,9.516666666666667
Integral dupla aplicações | Introdução,i1ASHSnAmuA,PT25S,2042,2021-02-15T11:31:38Z,0:25,0.4166666666666667
Integral dupla aplicações | Momento estático | Centro de massa,VAvBn1vqHoU,PT7M52S,1930,2021-02-15T11:13:01Z,7:52,7.866666666666666
Integral dupla aplicações | Integrais com densidades,NoWdvwLVqNI,PT8M22S,2063,2021-02-15T11:01:20Z,8:22,8.366666666666667
"Volume entre cone, cilindro e plano | Coordenadas polares | Lista 3, exercício 5",_R234y1CRMQ,PT10M15S,883,2021-02-15T10:06:40Z,10:15,10.25
