Title,Video ID,Duration,Views
Integral tripla | Exemplo 1 | Visualização de região entre plano e paraboloide,Hzrjkn6gsDM,PT14M57S,1309
Integral tripla | coordenadas esféricas | Exemplo 01 | Região situada entre cone e esfera,86i1dQbLqwE,PT13M5S,1520
Definição de integral tripla,t-Q8QQE0QxU,PT17M51S,1046
Integral tripla | coordenadas esféricas,2iDBXtBrGxA,PT11M24S,737
Integral tripla | coordenadas cilíndricas | Exemplo 1,A3xvteV_ByA,PT10M34S,591
Integral tripla | coordenadas cilíndricas,KOD3tw1ovo4,PT13M34S,599
Exercícios resolvidos | Área de superfície | Lista 5,3Pl8WhvGpAA,PT1H20M7S,1895
integral dupla centro de massa e momento de inércia - exercícios resolvidos,wlWaBwbOFO4,PT1H12M24S,1252
Integral dupla | Teorema de mudança de variáveis | parte II,RDDZr6aWerA,PT16M37S,466
Integral dupla | Teorema de mudança de variáveis | parte I,Fjo6Se4joxM,PT19M54S,897
Integral dupla | Volume entre elipsoide e cilindro elíptico,fsY_RtklaIs,PT19M13S,1726
"Integral dupla | Volume compreendido entre paraboloide, cilindro elíptico e plano",f8PiOi-xev0,PT18M11S,2239
Centro de massa | 1/4 de elipse | Integral dupla,NAJXuQRY-tg,PT15M12S,1140
Integral dupla | Área da esfera,XL72Nharcbc,PT13M37S,2884
Área de superfície que são gráfico de funções,JdHs8i3LHyg,PT3M17S,680
Área interior à intersecção | Paraboloide Hiperbólico v.s. Cilindro,Vn6i2nWhGvw,PT4M56S,853
Área de um paraboloide limitado por planos,oyc-JtqyTN4,PT9M22S,2183
Momento de inercia do círculo homogêneo,VlK7JXQqQv8,PT5M51S,2376
Aplicação integral dupla no momento de inércia,12DMjuLV3sk,PT9M31S,2208
Integral dupla aplicações | Introdução,i1ASHSnAmuA,PT25S,2042
Integral dupla aplicações | Momento estático | Centro de massa,VAvBn1vqHoU,PT7M52S,1930
Integral dupla aplicações | Integrais com densidades,NoWdvwLVqNI,PT8M22S,2063
